province_state,country_region,date,confirmed,deaths,recovered,active,admin2
Yamaguchi,Japan,2021-05-26,2832,60,2181,591,
Yamanashi,Japan,2021-05-26,1509,19,1352,138,
,Japan,2020-04-13,7370,123,784,6463,
Aichi,Japan,2021-10-06,106024,1143,,,
Akita,Japan,2021-10-06,1890,26,,,
Aomori,Japan,2021-10-06,5746,38,,,
Chiba,Japan,2021-10-06,99920,1004,,,
Ehime,Japan,2021-10-06,5224,81,,,
Fukui,Japan,2021-10-06,3069,37,,,
Fukuoka,Japan,2021-10-06,74180,618,,,
Fukushima,Japan,2021-10-06,9464,174,,,
Gifu,Japan,2021-10-06,18514,216,,,
Gunma,Japan,2021-10-06,16649,174,,,
Hiroshima,Japan,2021-10-06,21772,199,,,
Hokkaido,Japan,2021-10-06,60345,1468,,,
Hyogo,Japan,2021-10-06,77946,1389,,,
Ibaraki,Japan,2021-10-06,24270,217,,,
Ishikawa,Japan,2021-10-06,7921,125,,,
Iwate,Japan,2021-10-06,3485,52,,,
Kagawa,Japan,2021-10-06,4691,37,,,
Kagoshima,Japan,2021-10-06,9067,67,,,
Kanagawa,Japan,2021-10-06,168178,1276,,,
Kochi,Japan,2021-10-06,4119,31,,,
Kumamoto,Japan,2021-10-06,14344,136,,,
Kyoto,Japan,2021-10-06,35700,282,,,
Mie,Japan,2021-10-06,14663,164,,,
Miyagi,Japan,2021-10-06,16281,117,,,
Miyazaki,Japan,2021-10-06,6126,41,,,
Nagano,Japan,2021-10-06,8777,96,,,
Nagasaki,Japan,2021-10-06,6021,72,,,
Nara,Japan,2021-10-06,15449,150,,,
Niigata,Japan,2021-10-06,7932,60,,,
Oita,Japan,2021-10-06,8150,84,,,
Okayama,Japan,2021-10-06,15155,136,,,
Okinawa,Japan,2021-10-06,49913,328,,,
Osaka,Japan,2021-10-06,200613,2985,,,
Port Quarantine,Japan,2021-10-06,4295,4,,,
Saga,Japan,2021-10-06,5794,29,,,
Saitama,Japan,2021-10-06,115190,1013,,,
Shiga,Japan,2021-10-06,12329,102,,,
Shimane,Japan,2021-10-06,1644,4,,,
Shizuoka,Japan,2021-10-06,26694,209,,,
Tochigi,Japan,2021-10-06,15345,116,,,
Tokushima,Japan,2021-10-06,3273,65,,,
Tokyo,Japan,2021-10-06,376421,2975,,,
Tottori,Japan,2021-10-06,1651,5,,,
Toyama,Japan,2021-10-06,4821,51,,,
Unknown,Japan,2021-10-06,8,0,,,
Wakayama,Japan,2021-10-06,5270,61,,,
Yamagata,Japan,2021-10-06,3541,57,,,
Yamaguchi,Japan,2021-10-06,5619,90,,,
Yamanashi,Japan,2021-10-06,5141,29,,,
Aichi,Japan,2021-08-25,72896,1032,,,
Akita,Japan,2021-08-25,1500,21,,,
Aomori,Japan,2021-08-25,3812,33,,,
Chiba,Japan,2021-08-25,78819,809,,,
Ehime,Japan,2021-08-25,4354,78,,,
Fukui,Japan,2021-08-25,2349,36,,,
Fukuoka,Japan,2021-08-25,59918,561,,,
Fukushima,Japan,2021-08-25,8332,165,,,
Gifu,Japan,2021-08-25,13667,195,,,
Gunma,Japan,2021-08-25,13574,159,,,
Hiroshima,Japan,2021-08-25,16832,180,,,
Hokkaido,Japan,2021-08-25,54534,1437,,,
Hyogo,Japan,2021-08-25,60144,1333,,,
Ibaraki,Japan,2021-08-25,19156,182,,,
Ishikawa,Japan,2021-08-25,6957,124,,,
Iwate,Japan,2021-08-25,2780,48,,,
Kagawa,Japan,2021-08-25,3830,34,,,
Kagoshima,Japan,2021-08-25,7354,46,,,
Kanagawa,Japan,2021-08-25,134554,1084,,,
Kochi,Japan,2021-08-25,3010,31,,,
Kumamoto,Japan,2021-08-25,11270,124,,,
Kyoto,Japan,2021-08-25,27293,251,,,
Mie,Japan,2021-08-25,10268,123,,,
Miyagi,Japan,2021-08-25,13810,97,,,
Miyazaki,Japan,2021-08-25,4874,30,,,
Nagano,Japan,2021-08-25,7393,94,,,
Nagasaki,Japan,2021-08-25,4932,69,,,
Nara,Japan,2021-08-25,11988,136,,,
Niigata,Japan,2021-08-25,6200,54,,,
Oita,Japan,2021-08-25,6167,66,,,
Okayama,Japan,2021-08-25,12242,127,,,
Okinawa,Japan,2021-08-25,39389,250,,,
Osaka,Japan,2021-08-25,154110,2772,,,
Port Quarantine,Japan,2021-08-25,3829,4,,,
Saga,Japan,2021-08-25,4695,27,,,
Saitama,Japan,2021-08-25,92745,878,,,
Shiga,Japan,2021-08-25,9573,95,,,
Shimane,Japan,2021-08-25,1223,2,,,
Shizuoka,Japan,2021-08-25,19529,163,,,
Tochigi,Japan,2021-08-25,12311,100,,,
Tokushima,Japan,2021-08-25,2375,63,,,
Tokyo,Japan,2021-08-25,323225,2404,,,
Tottori,Japan,2021-08-25,1338,3,,,
Toyama,Japan,2021-08-25,4003,39,,,
